firmware,address,current_name,classification,prefix,indicators,suggested_name
cm848,0x000042b0,initAdcChannelConfig,mpc555,mpc555_,ram0030,mpc555_initAdcChannelConfig
cm848,0x00004320,configureAdcConversionRegs,mpc555,mpc555_,ram002f,mpc555_configureAdcConversionRegs
cm848,0x000043a4,configureAdcChannelRange,mpc555,mpc555_,ram002f,mpc555_configureAdcChannelRange
cm848,0x00004500,initDataTransferCopyBuffer,unknown,cm848_,,cm848_initDataTransferCopyBuffer
cm848,0x00004570,advanceAdcChannelQueue,unknown,cm848_,,cm848_advanceAdcChannelQueue
cm848,0x00004654,checkDataTransferBufferStatus,unknown,cm848_,,cm848_checkDataTransferBufferStatus
cm848,0x000046dc,startAdcConversion,unknown,cm848_,,cm848_startAdcConversion
cm848,0x00004720,initCanMailboxFilters,unknown,cm848_,,cm848_initCanMailboxFilters
cm848,0x000049d0,initFlashMemoryConfig,mpc555,mpc555_,ram0030+ram002f,mpc555_initFlashMemoryConfig
cm848,0x00004eec,can2MailboxTransmitCompleteWrapper,unknown,cm848_,,cm848_can2MailboxTransmitCompleteWrapper
cm848,0x00004f0c,can2MailboxTransmitRangeWrapper,unknown,cm848_,,cm848_can2MailboxTransmitRangeWrapper
cm848,0x00004f2c,writeCan2ControllerTxMailbox,unknown,cm848_,,cm848_writeCan2ControllerTxMailbox
cm848,0x00004f6c,can2TransmitInterruptHandler,mpc555,mpc555_,ram0030,mpc555_can2TransmitInterruptHandler
cm848,0x00005064,manageCan1TransmitBuffer,mpc555,mpc555_,toucan+ram0030,mpc555_manageCan1TransmitBuffer
cm848,0x00005134,processCanReceiveBuffer,mpc555,mpc555_,ram0030,mpc555_processCanReceiveBuffer
cm848,0x0000526c,dispatchCanMessageHandlers,mpc555,mpc555_,ram0030,mpc555_dispatchCanMessageHandlers
cm848,0x00005400,processAdcConversionResult,mpc555,mpc555_,ram0030,mpc555_processAdcConversionResult
cm848,0x00005728,processAdcWithOffset,mpc555,mpc555_,ram0030,mpc555_processAdcWithOffset
cm848,0x00005798,processAdcSensorByte,unknown,cm848_,,cm848_processAdcSensorByte
cm848,0x00005808,processAdcSensorDword,unknown,cm848_,,cm848_processAdcSensorDword
cm848,0x00005870,processAdcSensorDwordExt,mpc555,mpc555_,ram0030,mpc555_processAdcSensorDwordExt
cm848,0x000058e8,processAdcSensorDualDword,mpc555,mpc555_,ram0030,mpc555_processAdcSensorDualDword
cm848,0x00005958,getServiceDataOffset,unknown,cm848_,,cm848_getServiceDataOffset
cm848,0x00005adc,multiFrameCanTransmit,mpc555,mpc555_,ram0030,mpc555_multiFrameCanTransmit
cm848,0x00005c50,handleJ1939QueueRequest,mpc555,mpc555_,ram0030,mpc555_handleJ1939QueueRequest
cm848,0x00005cf4,processAdcChannelGroup,mpc555,mpc555_,ram0030,mpc555_processAdcChannelGroup
cm848,0x00005d8c,sendJ1939DiagnosticMessage,mpc555,mpc555_,ram0030,mpc555_sendJ1939DiagnosticMessage
cm848,0x00005e38,sendDiagAcknowledgeFrame,mpc555,mpc555_,ram0030,mpc555_sendDiagAcknowledgeFrame
cm848,0x00005ecc,handleJ1939DataRequest,mpc555,mpc555_,ram0030,mpc555_handleJ1939DataRequest
cm848,0x00005fe4,handleJ1939DataTransfer,mpc555,mpc555_,ram0030,mpc555_handleJ1939DataTransfer
cm848,0x00006180,handleJ1939AbortRequest,mpc555,mpc555_,ram0030,mpc555_handleJ1939AbortRequest
cm848,0x000061e8,handleJ1939AbortAcknowledge,mpc555,mpc555_,ram0030,mpc555_handleJ1939AbortAcknowledge
cm848,0x0000628c,j1939DiagMessageDispatcher,unknown,cm848_,,cm848_j1939DiagMessageDispatcher
cm848,0x000062fc,processJ1939QueueTransmit,mpc555,mpc555_,ram0030,mpc555_processJ1939QueueTransmit
cm848,0x00006490,decrementPauseStatusCounter,mpc555,mpc555_,ram0030,mpc555_decrementPauseStatusCounter
cm848,0x000064c4,processJ1939QueueStatus,unknown,cm848_,,cm848_processJ1939QueueStatus
cm848,0x00006508,initDiagnosticBuffers,mpc555,mpc555_,ram0030,mpc555_initDiagnosticBuffers
cm848,0x00006580,updateSystemTimers,unknown,cm848_,,cm848_updateSystemTimers
cm848,0x0000662c,diagnosticSubcommandDispatcher,mpc555,mpc555_,ram0030,mpc555_diagnosticSubcommandDispatcher
cm848,0x00006770,resetSerialReceiveBuffer,unknown,cm848_,,cm848_resetSerialReceiveBuffer
cm848,0x000067b0,serialReceiveHandler,mpc555,mpc555_,ram0030,mpc555_serialReceiveHandler
cm848,0x0000685c,resetSerialCommunication,mpc555,mpc555_,ram0030,mpc555_resetSerialCommunication
cm848,0x00006974,enableSerialTransmit,mpc555,mpc555_,ram0030,mpc555_enableSerialTransmit
cm848,0x000069b0,validateSerialChecksum,mpc555,mpc555_,ram0030,mpc555_validateSerialChecksum
cm848,0x00006a5c,initSerialTransmit,mpc555,mpc555_,ram0030,mpc555_initSerialTransmit
cm848,0x00006ab8,sensorFaultDetection,mpc555,mpc555_,ram0030,mpc555_sensorFaultDetection
cm848,0x00006b24,updateSensorDiagnostics,mpc555,mpc555_,ram0030,mpc555_updateSensorDiagnostics
cm848,0x00006bac,sensorInputProcessing,unknown,cm848_,,cm848_sensorInputProcessing
cm848,0x00006bdc,processScheduledTasks,mpc555,mpc555_,ram0030+ram002f,mpc555_processScheduledTasks
cm848,0x00006ca4,processMainLoop,unknown,cm848_,,cm848_processMainLoop
cm848,0x00006d24,dispatchDiagnosticService,unknown,cm848_,,cm848_dispatchDiagnosticService
cm848,0x00006e1c,sendEepromVersionResponse,unknown,cm848_,,cm848_sendEepromVersionResponse
cm848,0x00006eac,handleEepromDiagnosticResponse,mpc555,mpc555_,ram0030,mpc555_handleEepromDiagnosticResponse
cm848,0x00006f54,processEepromDataTransfer,mpc555,mpc555_,ram0030,mpc555_processEepromDataTransfer
cm848,0x000071f8,scrambleBitPattern,unknown,cm848_,,cm848_scrambleBitPattern
cm848,0x000074a0,processSensorFilterChain,unknown,cm848_,,cm848_processSensorFilterChain
cm848,0x000075dc,processSensorWithOverride,mpc555,mpc555_,ram0030,mpc555_processSensorWithOverride
cm848,0x00007608,watchdogTimerTick,mpc555,mpc555_,ram0030,mpc555_watchdogTimerTick
cm848,0x000076b4,watchdogTimerTick_midEntry,mpc555,mpc555_,ram0030,mpc555_watchdogTimerTick_midEntry
cm848,0x000076c8,sensorFaultThresholdCheck,unknown,cm848_,,cm848_sensorFaultThresholdCheck
cm848,0x00007740,sensorAcquisitionCycle,mpc555,mpc555_,ram0030,mpc555_sensorAcquisitionCycle
cm848,0x00007840,validateTransferBlockParams,mpc555,mpc555_,ram0030,mpc555_validateTransferBlockParams
cm848,0x000078d0,processTransferCrc,mpc555,mpc555_,ram0030,mpc555_processTransferCrc
cm848,0x00007974,systemWatchdogReset,mpc555,mpc555_,ram0030,mpc555_systemWatchdogReset
cm848,0x00007b08,initQspiHardware,mpc555,mpc555_,ram0030,mpc555_initQspiHardware
cm848,0x00007dc4,systemHaltLoop,mpc555,mpc555_,ram0030,mpc555_systemHaltLoop
cm848,0x0000b44c,keyOnStatusMonitor,unknown,cm848_,,cm848_keyOnStatusMonitor
cm848,0x0000b76c,phase_common_processing,unknown,cm848_,,cm848_phase_common_processing
cm848,0x0000b7b4,phase_group_a_processing,unknown,cm848_,,cm848_phase_group_a_processing
cm848,0x0000b854,phase_group_b_processing,unknown,cm848_,,cm848_phase_group_b_processing
cm848,0x0000b8fc,periodicTaskSet_fuelFinal,hpcr,hpcr_,injectorpulse+hpcr,hpcr_periodicTaskSet_fuelFinal
cm848,0x0000b98c,periodicTaskSet_sensorProcessing,unknown,cm848_,,cm848_periodicTaskSet_sensorProcessing
cm848,0x0000ba08,periodicTaskSet_controlLoop,unknown,cm848_,,cm848_periodicTaskSet_controlLoop
cm848,0x0000ba90,periodicTaskSet_auxiliaryControl,unknown,cm848_,,cm848_periodicTaskSet_auxiliaryControl
cm848,0x0000bb18,periodicTaskSet_canTx,unknown,cm848_,,cm848_periodicTaskSet_canTx
cm848,0x0000bb40,periodicTaskSet_diagnostics,unknown,cm848_,,cm848_periodicTaskSet_diagnostics
cm848,0x0000bb68,periodicTaskSet_protection,unknown,cm848_,,cm848_periodicTaskSet_protection
cm848,0x0000bb90,periodicTaskSet_timing,unknown,cm848_,,cm848_periodicTaskSet_timing
cm848,0x0000bbb8,periodicTaskSet_outputs,unknown,cm848_,,cm848_periodicTaskSet_outputs
cm848,0x0000bbe0,periodicTaskSet_sensors,unknown,cm848_,,cm848_periodicTaskSet_sensors
cm848,0x0000bc08,periodicTaskSet_monitoring,unknown,cm848_,,cm848_periodicTaskSet_monitoring
cm848,0x0000bc34,periodicTaskSet_communication,unknown,cm848_,,cm848_periodicTaskSet_communication
cm848,0x0000bc5c,periodicTaskGroup12_calibration1,unknown,cm848_,,cm848_periodicTaskGroup12_calibration1
cm848,0x0000bc80,periodicTaskGroup13_calibration2,unknown,cm848_,,cm848_periodicTaskGroup13_calibration2
cm848,0x0000bca4,periodicTaskGroup14_calibration3,unknown,cm848_,,cm848_periodicTaskGroup14_calibration3
cm848,0x0000bcc8,periodicTaskGroup15_calibration4,unknown,cm848_,,cm848_periodicTaskGroup15_calibration4
cm848,0x0000bce8,periodicTaskSet_protection2,unknown,cm848_,,cm848_periodicTaskSet_protection2
cm848,0x0000bd08,periodicTaskGroup17_calibration5,unknown,cm848_,,cm848_periodicTaskGroup17_calibration5
cm848,0x0000bd28,periodicTaskGroup18_calibration6,unknown,cm848_,,cm848_periodicTaskGroup18_calibration6
cm848,0x0000bd54,periodicTaskGroup25_calibration7,hpcr,hpcr_,hpcr,hpcr_periodicTaskGroup25_calibration7
cm848,0x0000bd80,periodicTaskGroup26_calibration8,unknown,cm848_,,cm848_periodicTaskGroup26_calibration8
cm848,0x0000bdac,periodicTaskGroup27_calibration9,unknown,cm848_,,cm848_periodicTaskGroup27_calibration9
cm848,0x0000bdd8,periodicTaskGroup28_calibration10,unknown,cm848_,,cm848_periodicTaskGroup28_calibration10
cm848,0x0000be04,periodicTaskGroup29_calibration11,unknown,cm848_,,cm848_periodicTaskGroup29_calibration11
cm848,0x0000be30,periodicTaskGroup30_calibration12,unknown,cm848_,,cm848_periodicTaskGroup30_calibration12
cm848,0x0000be5c,periodicTaskGroup31_calibration13,unknown,cm848_,,cm848_periodicTaskGroup31_calibration13
cm848,0x0000be88,periodicTaskGroup32_calibration14,unknown,cm848_,,cm848_periodicTaskGroup32_calibration14
cm848,0x0000beb4,periodicTaskSet_protection3,unknown,cm848_,,cm848_periodicTaskSet_protection3
cm848,0x0000bec8,schedulerPhaseDispatcher,unknown,cm848_,,cm848_schedulerPhaseDispatcher
cm848,0x0000bee0,periodicTaskSet_auxiliary,unknown,cm848_,,cm848_periodicTaskSet_auxiliary
cm848,0x0000bf34,periodicTaskGroup36_calibration15,hpcr,hpcr_,hpcr,hpcr_periodicTaskGroup36_calibration15
cm848,0x0000bf60,periodicTaskGroup37_calibration16,unknown,cm848_,,cm848_periodicTaskGroup37_calibration16
cm848,0x0000bf88,periodicTaskGroup38_calibration17,unknown,cm848_,,cm848_periodicTaskGroup38_calibration17
cm848,0x0000bfb0,periodicTaskSet_diagnostics2,unknown,cm848_,,cm848_periodicTaskSet_diagnostics2
cm848,0x0000bfd8,periodicTaskGroup20_calibration,hpcr,hpcr_,hpcr,hpcr_periodicTaskGroup20_calibration
cm848,0x0000c000,periodicTaskGroup21_calibration,unknown,cm848_,,cm848_periodicTaskGroup21_calibration
cm848,0x0000c028,periodicTaskGroup22_calibration,unknown,cm848_,,cm848_periodicTaskGroup22_calibration
cm848,0x0000c050,periodicTaskSet_protection4,hpcr,hpcr_,hpcr,hpcr_periodicTaskSet_protection4
cm848,0x0000c078,periodicTaskSet_outputs2,unknown,cm848_,,cm848_periodicTaskSet_outputs2
cm848,0x0000c874,initSensorDefaults,unknown,cm848_,,cm848_initSensorDefaults
cm848,0x0000c8bc,sensorChannel0_init,unknown,cm848_,,cm848_sensorChannel0_init
cm848,0x0000c948,sensorChannel0_process,unknown,cm848_,,cm848_sensorChannel0_process
cm848,0x0000c9d4,sensorChannel1_init,unknown,cm848_,,cm848_sensorChannel1_init
cm848,0x0000ca60,sensorChannel1_process,unknown,cm848_,,cm848_sensorChannel1_process
cm848,0x0000caec,sensorChannel2_init,unknown,cm848_,,cm848_sensorChannel2_init
cm848,0x0000cb78,sensorChannel2_process,unknown,cm848_,,cm848_sensorChannel2_process
cm848,0x0000cc04,sensorChannel3_boostPressureInit,unknown,cm848_,,cm848_sensorChannel3_boostPressureInit
cm848,0x0000cc90,sensorChannel3_boostPressureProcess,unknown,cm848_,,cm848_sensorChannel3_boostPressureProcess
cm848,0x0000cd1c,sensorChannel4_init,unknown,cm848_,,cm848_sensorChannel4_init
cm848,0x0000cda8,sensorChannel4_process,unknown,cm848_,,cm848_sensorChannel4_process
cm848,0x0000ce34,sensorChannel5_init,unknown,cm848_,,cm848_sensorChannel5_init
cm848,0x0000cec0,sensorChannel5_process,unknown,cm848_,,cm848_sensorChannel5_process
cm848,0x0000cf4c,sensorChannel6_init,unknown,cm848_,,cm848_sensorChannel6_init
cm848,0x0000cfd8,sensorChannel6_process,unknown,cm848_,,cm848_sensorChannel6_process
cm848,0x0000d064,sensorChannel7_init,unknown,cm848_,,cm848_sensorChannel7_init
cm848,0x0000d0f0,sensorChannel7_process,unknown,cm848_,,cm848_sensorChannel7_process
cm848,0x0000d17c,sensorChannel8_init,unknown,cm848_,,cm848_sensorChannel8_init
cm848,0x0000d208,sensorChannel8_process,unknown,cm848_,,cm848_sensorChannel8_process
cm848,0x0000d294,sensorChannel9_init,unknown,cm848_,,cm848_sensorChannel9_init
cm848,0x0000d320,sensorChannel9_process,unknown,cm848_,,cm848_sensorChannel9_process
cm848,0x0000d3ac,sensorChannel10_throttleInit,unknown,cm848_,,cm848_sensorChannel10_throttleInit
cm848,0x0000d438,sensorChannel10_throttleProcess,unknown,cm848_,,cm848_sensorChannel10_throttleProcess
cm848,0x0000d4c4,sensorChannel11_init,unknown,cm848_,,cm848_sensorChannel11_init
cm848,0x0000d550,sensorChannel11_process,unknown,cm848_,,cm848_sensorChannel11_process
cm848,0x0000d5dc,sensorChannel12_init,unknown,cm848_,,cm848_sensorChannel12_init
cm848,0x0000d668,sensorChannel12_process,unknown,cm848_,,cm848_sensorChannel12_process
cm848,0x0000d6f4,sensorChannel13_init,unknown,cm848_,,cm848_sensorChannel13_init
cm848,0x0000d780,sensorChannel13_process,unknown,cm848_,,cm848_sensorChannel13_process
cm848,0x0000d80c,sensorChannel14_init,unknown,cm848_,,cm848_sensorChannel14_init
cm848,0x0000d898,sensorChannel14_process,unknown,cm848_,,cm848_sensorChannel14_process
cm848,0x0000d924,sensorChannel15_init,unknown,cm848_,,cm848_sensorChannel15_init
cm848,0x0000d9b0,sensorChannel15_process,unknown,cm848_,,cm848_sensorChannel15_process
cm848,0x0000da3c,sensorChannel16_init,unknown,cm848_,,cm848_sensorChannel16_init
cm848,0x0000db50,sensorChannel16_process,unknown,cm848_,,cm848_sensorChannel16_process
cm848,0x0000db88,sensorChannel16BProcessOilPressure,unknown,cm848_,,cm848_sensorChannel16BProcessOilPressure
cm848,0x0000dc64,oilPressureDeltaCalculation,unknown,cm848_,,cm848_oilPressureDeltaCalculation
cm848,0x0000dcdc,fuelDemandBlendCalculator,unknown,cm848_,,cm848_fuelDemandBlendCalculator
cm848,0x0000e09c,initFuelTableSizes,unknown,cm848_,,cm848_initFuelTableSizes
cm848,0x0000e0c4,trackMinimumFuelDemand,unknown,cm848_,,cm848_trackMinimumFuelDemand
cm848,0x0000e0f4,checkPressureFuelState,unknown,cm848_,,cm848_checkPressureFuelState
cm848,0x0000e164,calculateSensorEma,unknown,cm848_,,cm848_calculateSensorEma
cm848,0x0000e218,checkFuelRateCondition,unknown,cm848_,,cm848_checkFuelRateCondition
cm848,0x0000e248,checkPressureFuelDelayA,unknown,cm848_,,cm848_checkPressureFuelDelayA
cm848,0x0000e2cc,checkPressureFuelDelayB,unknown,cm848_,,cm848_checkPressureFuelDelayB
cm848,0x0000e360,checkPressureHysteresis,unknown,cm848_,,cm848_checkPressureHysteresis
cm848,0x0000e518,hpcr_calculateFuelTrimOutput,hpcr,hpcr_,hpcr,hpcr_calculateFuelTrimOutput
cm848,0x0000e748,initFuelPressureVariables,unknown,cm848_,,cm848_initFuelPressureVariables
cm848,0x0000e78c,temperatureBasedFuelTrim,unknown,cm848_,,cm848_temperatureBasedFuelTrim
cm848,0x0000e8ac,initTemperatureTrimTableSizes,unknown,cm848_,,cm848_initTemperatureTrimTableSizes
cm848,0x0000e8cc,initTemperatureTrimCoeff,unknown,cm848_,,cm848_initTemperatureTrimCoeff
cm848,0x0000e8dc,fuelTimingRateLimitedBlend,unknown,cm848_,,cm848_fuelTimingRateLimitedBlend
cm848,0x0000e8f0,fuelTimingCompensation,unknown,cm848_,,cm848_fuelTimingCompensation
cm848,0x0000fabc,initFuelDemandVariables,unknown,cm848_,,cm848_initFuelDemandVariables
cm848,0x0000fb28,restoreEngineOperatingMode,unknown,cm848_,,cm848_restoreEngineOperatingMode
cm848,0x0000fcd0,calculateFuelTimingBlend,unknown,cm848_,,cm848_calculateFuelTimingBlend
cm848,0x0000fe3c,initFuelTimingTableSizes,unknown,cm848_,,cm848_initFuelTimingTableSizes
cm848,0x0000fe5c,calculateFuelTimingTarget,unknown,cm848_,,cm848_calculateFuelTimingTarget
cm848,0x0000ff04,calculateFuelTrimValues,unknown,cm848_,,cm848_calculateFuelTrimValues
cm848,0x00010110,initEngineOperatingMode,unknown,cm848_,,cm848_initEngineOperatingMode
cm848,0x00010248,initLookupTableParams,unknown,cm848_,,cm848_initLookupTableParams
cm848,0x00010270,stubFunction3,unknown,cm848_,,cm848_stubFunction3
cm848,0x00010274,timerInterruptHandler,mpc555,mpc555_,usiu_+ram002f,mpc555_timerInterruptHandler
cm848,0x00010694,fatalErrorHalt,mpc555,mpc555_,usiu_,mpc555_fatalErrorHalt
cm848,0x000107ec,selectTurboModeParameters,unknown,cm848_,,cm848_selectTurboModeParameters
cm848,0x0001083c,updateTurboModeState,unknown,cm848_,,cm848_updateTurboModeState
cm848,0x00010874,selectTemperatureTrimValue,unknown,cm848_,,cm848_selectTemperatureTrimValue
cm848,0x000108a4,calculateTurboRatioA,unknown,cm848_,,cm848_calculateTurboRatioA
cm848,0x000109c8,calculateTurboRatioB,unknown,cm848_,,cm848_calculateTurboRatioB
cm848,0x00010b04,calculateTurboRatios,unknown,cm848_,,cm848_calculateTurboRatios
cm848,0x00010b28,calculateTurboBlendOutput,unknown,cm848_,,cm848_calculateTurboBlendOutput
cm848,0x00010d3c,calculateTurboRatioWithMode,unknown,cm848_,,cm848_calculateTurboRatioWithMode
cm848,0x00010ed0,initTurboRatioVariables,unknown,cm848_,,cm848_initTurboRatioVariables
cm848,0x00010f68,calculateLoadBasedAdjustment,unknown,cm848_,,cm848_calculateLoadBasedAdjustment
cm848,0x000110bc,lookupRpmLoadTable,unknown,cm848_,,cm848_lookupRpmLoadTable
cm848,0x00011170,calculateLoadAdjustmentFactors,unknown,cm848_,,cm848_calculateLoadAdjustmentFactors
cm848,0x00011290,processLoadAdjustment,unknown,cm848_,,cm848_processLoadAdjustment
cm848,0x00011324,initLoadAdjustmentTableSizes,mpc555,mpc555_,ram003f,mpc555_initLoadAdjustmentTableSizes
cm848,0x0001134c,calculateLoadGainValues,unknown,cm848_,,cm848_calculateLoadGainValues
cm848,0x00011410,selectLoadAdjustmentLimits,unknown,cm848_,,cm848_selectLoadAdjustmentLimits
cm848,0x000114dc,calculateLoadCompensation,unknown,cm848_,,cm848_calculateLoadCompensation
cm848,0x000115cc,calculateLoadIntegral,unknown,cm848_,,cm848_calculateLoadIntegral
cm848,0x000118f8,processLoadGainCalculations,unknown,cm848_,,cm848_processLoadGainCalculations
cm848,0x00011924,initLoadGainVariables,mpc555,mpc555_,ram003f,mpc555_initLoadGainVariables
cm848,0x0001198c,calculateRateLimitedValue,unknown,cm848_,,cm848_calculateRateLimitedValue
cm848,0x00011a4c,checkSpeedBandCondition,unknown,cm848_,,cm848_checkSpeedBandCondition
cm848,0x0001231c,turboCompensationWrapper,unknown,cm848_,,cm848_turboCompensationWrapper
cm848,0x0001233c,initTurboCompensationVariables,mpc555,mpc555_,ram003f,mpc555_initTurboCompensationVariables
cm848,0x000123dc,circularBufferWriteUnsigned,unknown,cm848_,,cm848_circularBufferWriteUnsigned
cm848,0x00012404,circularBufferWriteSigned,unknown,cm848_,,cm848_circularBufferWriteSigned
cm848,0x0001242c,calculateLoadBasedFuelTrim,unknown,cm848_,,cm848_calculateLoadBasedFuelTrim
cm848,0x000125f4,calculateRpmBasedFuelTrim,unknown,cm848_,,cm848_calculateRpmBasedFuelTrim
cm848,0x00012724,checkFuelSystemFaultFlags,unknown,cm848_,,cm848_checkFuelSystemFaultFlags
cm848,0x00012778,checkEngineFaultConditions,unknown,cm848_,,cm848_checkEngineFaultConditions
cm848,0x000127bc,selectFuelTrimMode,unknown,cm848_,,cm848_selectFuelTrimMode
cm848,0x000128a0,throttleBasedFuelCalculation,unknown,cm848_,,cm848_throttleBasedFuelCalculation
cm848,0x00012a58,initFilterCoefficients,unknown,cm848_,,cm848_initFilterCoefficients
cm848,0x00012ad4,boostBasedFuelModifier,unknown,cm848_,,cm848_boostBasedFuelModifier
cm848,0x00012cf4,loadBasedFuelAdjustment,unknown,cm848_,,cm848_loadBasedFuelAdjustment
cm848,0x00012dc4,fuelDemandWithLoadCompensation,unknown,cm848_,,cm848_fuelDemandWithLoadCompensation
cm848,0x00012e40,initFilterTablePointers,unknown,cm848_,,cm848_initFilterTablePointers
cm848,0x00012e60,fuelControlMainCalculation,unknown,cm848_,,cm848_fuelControlMainCalculation
cm848,0x00012e88,initFuelControlFilterSystem,unknown,cm848_,,cm848_initFuelControlFilterSystem
cm848,0x00012eb4,fuelDemandErrorCalculation,unknown,cm848_,,cm848_fuelDemandErrorCalculation
cm848,0x00012f40,initFuelDemandBlendPointers,unknown,cm848_,,cm848_initFuelDemandBlendPointers
cm848,0x00012f60,fuelDemandBlendCalculation,unknown,cm848_,,cm848_fuelDemandBlendCalculation
cm848,0x000130ac,initManifoldPressureFilter,mpc555,mpc555_,ram003f,mpc555_initManifoldPressureFilter
cm848,0x000130dc,calculateBoostPressureOffset,unknown,cm848_,,cm848_calculateBoostPressureOffset
cm848,0x0001327c,initFuelFilterDefaults,unknown,cm848_,,cm848_initFuelFilterDefaults
cm848,0x00013294,calculateBoostTorqueOffset,unknown,cm848_,,cm848_calculateBoostTorqueOffset
cm848,0x0001350c,initFuelDemandFilterState,unknown,cm848_,,cm848_initFuelDemandFilterState
cm848,0x00013564,checkBoostControlCondition,unknown,cm848_,,cm848_checkBoostControlCondition
cm848,0x0001359c,processBoostControlState,unknown,cm848_,,cm848_processBoostControlState
cm848,0x00013774,processBoostProtectionConditions,unknown,cm848_,,cm848_processBoostProtectionConditions
cm848,0x0001392c,selectLoadNormalizer,unknown,cm848_,,cm848_selectLoadNormalizer
cm848,0x00013a80,processLoadNormalizerSelection,unknown,cm848_,,cm848_processLoadNormalizerSelection
cm848,0x00013aec,processBoostProtectionMode,unknown,cm848_,,cm848_processBoostProtectionMode
cm848,0x00013ca4,initBoostProtectionState,unknown,cm848_,,cm848_initBoostProtectionState
cm848,0x00013d14,calculateThrottleDerivative,unknown,cm848_,,cm848_calculateThrottleDerivative
cm848,0x00013dc8,calculateThrottleFiltered,unknown,cm848_,,cm848_calculateThrottleFiltered
cm848,0x00014080,initThrottleFilterState,mpc555,mpc555_,ram003f,mpc555_initThrottleFilterState
cm848,0x0001410c,calculateRpmLoadTables,unknown,cm848_,,cm848_calculateRpmLoadTables
cm848,0x0001429c,selectFuelDemandOverride,unknown,cm848_,,cm848_selectFuelDemandOverride
cm848,0x000142d0,selectFuelLimitOverride,unknown,cm848_,,cm848_selectFuelLimitOverride
cm848,0x00014304,setFuelStatusFlags,unknown,cm848_,,cm848_setFuelStatusFlags
cm848,0x00014374,calculateRpmLoadLimit,unknown,cm848_,,cm848_calculateRpmLoadLimit
cm848,0x00014430,selectFinalLoadLimit,unknown,cm848_,,cm848_selectFinalLoadLimit
cm848,0x0001444c,setFuelDemandVariable,unknown,cm848_,,cm848_setFuelDemandVariable
cm848,0x00014458,setFuelDemandVariable,unknown,cm848_,,cm848_setFuelDemandVariable
cm848,0x00014464,selectFuelLoadOverride,unknown,cm848_,,cm848_selectFuelLoadOverride
cm848,0x00014498,processFuelLimitCalculations,unknown,cm848_,,cm848_processFuelLimitCalculations
cm848,0x000144d0,initFuelLimitTableSizes,mpc555,mpc555_,ram003f,mpc555_initFuelLimitTableSizes
cm848,0x00014508,compareForFuelMapSelection,unknown,cm848_,,cm848_compareForFuelMapSelection
cm848,0x00014528,filterInputValue,unknown,cm848_,,cm848_filterInputValue
cm848,0x00014610,calculateFuelDemandMode1,unknown,cm848_,,cm848_calculateFuelDemandMode1
cm848,0x000149a4,calculateFuelDemandMode2,unknown,cm848_,,cm848_calculateFuelDemandMode2
cm848,0x00014d38,calculateFuelDemandTimingOffset,unknown,cm848_,,cm848_calculateFuelDemandTimingOffset
cm848,0x000150b0,calculateFuelDemandMode3,unknown,cm848_,,cm848_calculateFuelDemandMode3
cm848,0x00015444,calculateFuelDemandBlendTables,unknown,cm848_,,cm848_calculateFuelDemandBlendTables
cm848,0x00015760,lookupFuelDemandRpmTables,unknown,cm848_,,cm848_lookupFuelDemandRpmTables
cm848,0x00015a24,calculateFuelLimitSource,unknown,cm848_,,cm848_calculateFuelLimitSource
cm848,0x00015bd8,selectFuelLimitWithFiltering,unknown,cm848_,,cm848_selectFuelLimitWithFiltering
cm848,0x00015d2c,fuelDemandFilterUpdate,unknown,cm848_,,cm848_fuelDemandFilterUpdate
cm848,0x00015e08,interpolateFuelMapTable,unknown,cm848_,,cm848_interpolateFuelMapTable
cm848,0x00015f34,processFuelMapInterpolation,unknown,cm848_,,cm848_processFuelMapInterpolation
cm848,0x000160ac,calculateFuelBlendModeSelection,unknown,cm848_,,cm848_calculateFuelBlendModeSelection
cm848,0x00016408,calculateFuelBlendMode,unknown,cm848_,,cm848_calculateFuelBlendMode
cm848,0x0001640c,calculateFuelBlendMode,unknown,cm848_,,cm848_calculateFuelBlendMode
cm848,0x000164ac,processFuelDemandCalculations,unknown,cm848_,,cm848_processFuelDemandCalculations
cm848,0x000164e4,fuelDemandTableLookup,unknown,cm848_,,cm848_fuelDemandTableLookup
cm848,0x00016724,fuelDemandRpmCorrection,unknown,cm848_,,cm848_fuelDemandRpmCorrection
cm848,0x00016774,lookupProtectionFuelDemand,unknown,cm848_,,cm848_lookupProtectionFuelDemand
cm848,0x00016888,initFuelDemandTablePointers,mpc555,mpc555_,ram003f,mpc555_initFuelDemandTablePointers
cm848,0x00016a90,calculateFuelInjectionTiming,unknown,cm848_,,cm848_calculateFuelInjectionTiming
cm848,0x00016c40,calculateManifoldPressureOffset,unknown,cm848_,,cm848_calculateManifoldPressureOffset
cm848,0x00016cd4,calculateFuelDemandDelta,unknown,cm848_,,cm848_calculateFuelDemandDelta
cm848,0x00016d6c,applyFuelDemandOffset,unknown,cm848_,,cm848_applyFuelDemandOffset
cm848,0x00016e90,processFuelTimingCalculations,unknown,cm848_,,cm848_processFuelTimingCalculations
cm848,0x00016f9c,storeFuelLimitValues,unknown,cm848_,,cm848_storeFuelLimitValues
cm848,0x00016ffc,initFuelTimingTablePointers,mpc555,mpc555_,ram003f,mpc555_initFuelTimingTablePointers
cm848,0x0001702c,fuelDemandBaseCalculation,unknown,cm848_,,cm848_fuelDemandBaseCalculation
